fname,true_pairwise_het,true_num_seg,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
10_10_0.0_0_stat_1_pop_alpha_0.1.txt,0.10443645576883162,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_0_stat_1_pop_alpha_0.17500000000000002.txt,0.15458652099856804,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_0_stat_1_pop_alpha_0.25.txt,0.19078107665075203,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_0_stat_1_pop_alpha_0.32500000000000007.txt,0.21594808331262366,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_0_stat_1_pop_alpha_0.4.txt,0.23368635944440866,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_0_stat_2_pop_beta_0.1.txt,,,0.06298855701541745,0.10583627747099147,0.08441241724320449,0.4048490884169476,0.25379986650615366,10.0,10.0,0.0,1000.0
10_10_0.0_0_stat_2_pop_beta_0.325.txt,,,0.07029991117570931,0.09446392317887212,0.08238191717729072,0.25580148685342075,0.14665847088239306,10.0,10.0,0.0,1000.0
10_10_0.0_0_stat_2_pop_beta_0.55.txt,,,0.08085172845517244,0.10694553057246398,0.09389862951381828,0.24399151584563827,0.1389466611621401,10.0,10.0,0.0,1000.0
10_10_0.0_0_stat_2_pop_beta_0.775.txt,,,0.08149397269419613,0.10167881408659732,0.09158639339039677,0.19851570431584953,0.11019563411762076,10.0,10.0,0.0,1000.0
10_10_0.0_0_stat_2_pop_beta_1.0.txt,,,0.0883056011385927,0.10404761849505925,0.09617660981682599,0.15129627745601948,0.08183911548997294,10.0,10.0,0.0,1000.0
10_10_0.0_0_const_1_pop_theta_0.0001.txt,0.0001999523272228213,5918.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_const_1_pop_theta_0.000325.txt,0.0006647078137437507,19307.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_const_1_pop_theta_0.00055.txt,0.0010835639182433096,32630.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_const_1_pop_theta_0.0007750000000000001.txt,0.0014946854269189296,44055.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_const_1_pop_theta_0.001.txt,0.0019766864811293014,56593.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.00013742593137927654,5792.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_exp_growth_1_pop_theta_0.000325.txt,0.00043816518321733173,18742.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_exp_growth_1_pop_theta_0.00055.txt,0.0007584845389667683,32352.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.0010506789446132737,44173.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_exp_growth_1_pop_theta_0.001.txt,0.001346099975100481,57628.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_0_const_2_pop_t_div_0.0.txt,,,0.001734919599058908,0.0017367368865797471,0.0017358282428193315,0.001046380447655449,0.0005234640951270659,10.0,10.0,0.0,1000000.0
10_10_0.0_0_const_2_pop_t_div_0.25.txt,,,0.0022346234682874564,0.002464653347711009,0.002349638407999216,0.0933315346911515,0.04895005943050529,10.0,10.0,0.0,1000000.0
10_10_0.0_0_const_2_pop_t_div_0.5.txt,,,0.002023867126752291,0.0026312367767865903,0.0023275519517694343,0.23083048070499085,0.1304739190832146,10.0,10.0,0.0,1000000.0
10_10_0.0_0_const_2_pop_t_div_0.75.txt,,,0.002000303015390645,0.0027030465542593864,0.002351674784825017,0.2599820331475155,0.14941341876934594,10.0,10.0,0.0,1000000.0
10_10_0.0_0_const_2_pop_t_div_1.0.txt,,,0.0021625305391628612,0.0032101880658758943,0.002686359302519361,0.32635394101970827,0.1949957933271379,10.0,10.0,0.0,1000000.0
10_10_0.0_1_stat_1_pop_alpha_0.1.txt,0.1041366394031634,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_1_stat_1_pop_alpha_0.17500000000000002.txt,0.1545074479745278,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_1_stat_1_pop_alpha_0.25.txt,0.19027910495181977,,,,,,,10.0,10.0,0.0,1000000.0
