fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites
1000_100_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.0001297319955,162442,1000,100,0,10000000
10_10_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.000130037275169,5560,10,10,1E-05,10000000
10_100_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.000130093498677,5614,10,100,0.0001,10000000
100_100_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.000130696759174,34956,100,100,0.0001,10000000
10_100_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000131099771395,5642,10,100,0.001,10000000
10_100_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.000131174246054,5667,10,100,1E-05,10000000
10_10_0.0_4_exp_growth_1_pop_theta_0.0001.txt,0.00013117813136,5740,10,10,0,10000000
10_10_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.000131441296147,5621,10,10,0,10000000
100_100_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.000131469890248,35124,100,100,0,10000000
100_1000_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.000131472496198,35036,100,1000,0,10000000
1000_10_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013163793055,162475,1000,10,0.0001,10000000
1000_10_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.0001317978216,163223,1000,10,1E-05,10000000
10_10_0.001_0_exp_growth_1_pop_theta_0.0001.txt,0.000131901773159,5701,10,10,0.001,10000000
100_100_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.000131937171901,34978,100,100,0,10000000
100_1000_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.000131985495041,34508,100,1000,0,10000000
100_1000_0.0001_7_exp_growth_1_pop_theta_0.0001.txt,0.00013204951719,35286,100,1000,0.0001,10000000
10_10_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.000132095482404,5710,10,10,0.001,10000000
100_100_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.000132136248099,34436,100,100,0.0001,10000000
100_10_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000132169588926,35089,100,10,0.0001,10000000
1000_100_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013224413035,161936,1000,100,0.0001,10000000
1000_10_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.00013225444475,162650,1000,10,0.001,10000000
1000_100_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.0001322785445,162471,1000,100,0,10000000
100_100_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.000132287366446,34878,100,100,0.001,10000000
1000_10_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013232983,162913,1000,10,0.001,10000000
1000_1000_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.00013237631245,162577,1000,1000,1E-05,10000000
100_100_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000132409342479,34883,100,100,0.001,10000000
